question,difficulty,expected_answer,source_file,source_pages,expected_keywords,is_answerable,question_type,expected_behavior
"How should the formal wage estimates be interpreted relative to full compliance?",medium,"The estimated formal wage effects are smaller than the mechanical increase implied by full compliance, suggesting partial compliance, imperfect enforcement, or reference effects.","PerezPerez2020.pdf","24;25;34","formal wage effects;mechanical increase;full compliance;partial compliance;reference effects",true,reasoning,answer
"What does the paper find for informal wages?",medium,"Informal wages also increase around the minimum wage, but the effects are smaller and less robust than the formal-sector effects.","PerezPerez2020.pdf","27;28;29;30;34","informal wages;around the minimum wage;smaller;less robust;formal sector",true,answerable,answer
"Does the paper find evidence that informal wage effects are caused by formal-to-informal spillovers?",medium,"No. Tests using formal-sector minimum wage incidence do not find significant effects on informal wages, suggesting the response occurs within the informal market.","PerezPerez2020.pdf","31;32;34","formal-sector incidence;informal wages;spillovers;no significant effects;informal market",true,claim_verification,answer
"What does the paper find about employment effects in each sector?",medium,"The paper finds no significant employment effects in the formal sector and slight evidence of negative employment effects in the informal sector.","PerezPerez2020.pdf","31;32;33;34","employment effects;formal sector;informal sector;negative employment;no significant effects",true,answerable,answer
"How does the author interpret the informal employment result?",hard,"The author suggests that negative informal employment effects may reflect lower rigidities in the informal sector or imperfect compliance, making employment adjustment easier there.","PerezPerez2020.pdf","33;34","informal employment;lower rigidities;imperfect compliance;employment adjustment",true,reasoning,answer
"What robustness or validity check does the paper use before the shock?",hard,"The paper reestimates effects before the minimum wage shock and finds no significant pre-shock effects or systematic patterns, which supports the validity of the design.","PerezPerez2020.pdf","26;47;51","pre-shock;placebo;1998q3;1998q4;no significant effects;validity",true,answerable,answer
"What is the paper's overall conclusion?",hard,"The 1999 shock increased wages near the minimum wage in both sectors, more strongly in the formal sector, with no formal employment effect, slight negative informal employment evidence, and no evidence of formal-to-informal wage spillovers.","PerezPerez2020.pdf","34;35","overall conclusion;wages;formal sector;informal sector;employment;spillovers",true,reasoning,answer
"What limitations does the paper mention about generalizing the results?",hard,"The results may not generalize to other countries or contexts, to larger minimum wage changes, to other policy changes, or to settings with different local heterogeneity.","PerezPerez2020.pdf","35","limitations;generalize;other countries;larger minimum wage changes;policy changes;heterogeneity",true,reasoning,answer
"Does the paper estimate minimum wage effects on cryptocurrency markets?",easy,"I could not find this information in the provided document.","PerezPerez2020.pdf",,,false,true_out_of_scope,refuse
"Does the paper compare GPT models for document question answering?",easy,"I could not find this information in the provided document.","PerezPerez2020.pdf",,,false,true_out_of_scope,refuse
"Does the paper study Vietnam's path to socialism?",easy,"I could not find this information in the provided document.","PerezPerez2020.pdf",,,false,true_out_of_scope,refuse
"Does the paper use randomized city-level minimum wage assignments across Colombia?",medium,"The document does not support the claim that city-level minimum wage assignments were randomized.","PerezPerez2020.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper claim Colombia abolished the minimum wage after the 1999 shock?",medium,"The document does not support the claim that Colombia abolished the minimum wage after the 1999 shock.","PerezPerez2020.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper estimate minimum wage effects separately for Venezuelan migrants in Colombia?",hard,"I could not find this information in the provided document.","PerezPerez2020.pdf",,,false,true_out_of_scope,refuse
"Does the paper compare Colombia's informal sector results with Brazil and Mexico using the same regression tables?",hard,"I could not find this information in the provided document.","PerezPerez2020.pdf",,,false,true_out_of_scope,refuse
"Does the paper conclude that informal employment increased because enforcement became stricter?",hard,"The document does not support the claim that informal employment increased because enforcement became stricter.","PerezPerez2020.pdf",,,false,unsupported_claim,state_not_supported
"What information creates variation in minimum wage incidence across markets?",medium,"Variation comes from the share of workers in each city-industry block whose pre-shock wages were between the old and new minimum wage.","PerezPerez2020.pdf","14;15","city-industry;fraction affected;pre-shock wages;old minimum wage;new minimum wage",true,answerable,answer
"How does the paper test for formal-to-informal wage spillovers?",medium,"The paper uses formal-sector minimum wage incidence to test whether formal-sector exposure affects informal wages, and finds no significant cross-sectoral effects.","PerezPerez2020.pdf","31;32;34","formal-sector incidence;informal wages;cross-sectoral effects;no significant effects",true,claim_verification,answer
"Does the paper estimate how minimum wages affect firm profits or product prices?",medium,"I could not find this information in the provided document.","PerezPerez2020.pdf",,,false,true_out_of_scope,refuse
"Does the paper claim the 1999 shock was caused by a randomized policy experiment?",hard,"The document does not support the claim that the 1999 shock was caused by a randomized policy experiment.","PerezPerez2020.pdf",,,false,unsupported_claim,state_not_supported
