question,difficulty,expected_answer,source_file,source_pages,expected_keywords,is_answerable,question_type,expected_behavior
"What limitation does the paper note about the programming task?",medium,"The study used a standardized programming task to measure productivity precisely, rather than observing developers collaborating on large proprietary or open-source projects.","2302.06590v1.pdf","7;8","standardized programming task;large projects;professional;open-source;limitations",true,reasoning,answer
"What limitation does the paper identify about code quality?",medium,"The study does not examine effects on code quality, noting that AI assistance could improve quality by suggesting better code or reduce quality if programmers pay less attention.","2302.06590v1.pdf","8","code quality;does not examine;improve quality;reduce quality;security",true,reasoning,answer
"What broader economic implication do the authors discuss?",hard,"The authors discuss that extrapolating a 55.8% productivity increase to computer and mathematical occupations could imply large cost savings and effects on GDP growth, while distributional and job-task impacts remain unclear.","2302.06590v1.pdf","8","55.8%;computer and mathematical occupations;cost savings;GDP growth;job tasks",true,reasoning,answer
"Does Figure 6 support the claim that treated participants completed the task faster?",medium,"Yes. Figure 6 shows the distribution of time to task completion for treated and control groups, and the results text reports much shorter average completion time for the treated group.","2302.06590v1.pdf","5;17","Figure 6;time to task completion;treated;control;shorter average",true,claim_verification,answer
"Does the paper say GitHub Copilot is powered by OpenAI Codex?",easy,"Yes. The paper states that GitHub Copilot is powered by OpenAI's generative AI model, Codex.","2302.06590v1.pdf","2","GitHub Copilot;OpenAI;Codex;powered by",true,claim_verification,answer
"Does the paper allow the control group to use internet search and Stack Overflow?",easy,"Yes. The control group did not have GitHub Copilot access but was otherwise unconstrained and could use internet search and Stack Overflow.","2302.06590v1.pdf","2;3","control group;internet search;Stack Overflow;unconstrained",true,claim_verification,answer
"Does the paper claim Copilot improved code quality in the experiment?",medium,"The document does not support the claim that Copilot improved code quality; it says the study did not examine effects of AI on code quality.","2302.06590v1.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper claim every recruited developer completed the task and survey?",medium,"The document does not support the claim that every recruited developer completed the task and survey; it says 95 developers accepted offers and 35 developers from both groups completed the task and survey.","2302.06590v1.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper say participants were randomly assigned based on age, income, or education?",medium,"The document does not support the claim that assignment was based on age, income, or education; it says participants were randomly split into control and treatment groups.","2302.06590v1.pdf",,,false,unsupported_claim,state_not_supported
"Does the paper study cryptocurrency markets or Bitcoin prices?",easy,"The document does not study cryptocurrency markets or Bitcoin prices.","2302.06590v1.pdf",,,false,true_out_of_scope,refuse
"Does the paper evaluate cancer diagnosis or medical imaging systems?",easy,"The document does not evaluate cancer diagnosis or medical imaging systems.","2302.06590v1.pdf",,,false,true_out_of_scope,refuse
